trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,2,-104.02083643688901,"{0: 14, 1: 2, 2: 5, 3: 1, 4: 1}",1
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,3,-121.668362496879,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 3}",1
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-132.18543965369597,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-94.3577903001615,"{0: 10, 1: 3, 2: 5, 3: 2, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,14,-85.0765605994212,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 2}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,11,-6.106943122722228,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-98.50848793376558,"{0: 12, 1: 5, 2: 1, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,5,-72.53135708677539,"{0: 11, 1: 0, 2: 1, 3: 2, 4: 1}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-25.758586218704263,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,3,-61.72418800717097,"{0: 21, 1: 1, 2: 3, 3: 1, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-97.5902466583109,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-32.60855417184469,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-8.083773531243843,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,7,-0.6525481698139826,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",35,22,7.943019090874191,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,9,16.542883091316174,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",35,20,23.4817275422786,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,5,-16.291185339915796,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,8,20.13349713656482,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,11,12.355318042019498,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,10,26.6066913389374,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,0,38.73294099102934,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",20,14,10.646845416854719,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,1,30.440893496064565,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,5,25.521703725509752,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",30,20,18.329675135159484,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",30,12,28.6552598387019,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,0,31.208439188519947,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",20,11,17.54398953380367,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",35,17,38.12849862373237,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
