trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-69.20048108571616,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,8,-16.980459150381108,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 0}",1
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-163.43446028124686,"{0: 15, 1: 1, 2: 6, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-30.95942428803957,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,8,-25.241397828251827,"{0: 7, 1: 3, 2: 2, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-164.66628701495384,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-47.8231247163263,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,16,-16.69094406049385,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 1.0}",30,0,-236.66167941052737,"{0: 16, 1: 4, 2: 5, 3: 1, 4: 4}",0
10,False,"{'a': 0.5, 'e': 1.0}",35,0,-187.86681760570426,"{0: 22, 1: 2, 2: 8, 3: 0, 4: 3}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,15,-58.78860371919758,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-86.91701082747844,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-304.44687140194054,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 7}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-33.900828832255556,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-61.54053342310276,"{0: 15, 1: 6, 2: 3, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-64.00725722175531,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-143.2627769000491,"{0: 13, 1: 2, 2: 1, 3: 1, 4: 3}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-141.75340780384838,"{0: 18, 1: 2, 2: 1, 3: 1, 4: 3}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-110.87009840603277,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-71.2747218502812,"{0: 10, 1: 4, 2: 6, 3: 0, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-123.38985870340989,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-168.10080339180865,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-116.68136668182218,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-29.762230253142235,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-127.11115392531246,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-158.2463658063537,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 3}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-185.21974271147084,"{0: 9, 1: 2, 2: 6, 3: 0, 4: 3}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-102.26888744987164,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,12,-10.252904808338943,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-60.67530734004106,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
